SMAC: 41:19:09:00:00:00 | DMAC: 30:30:3f:3f:fd:0d | SIP: 6.0.0.10 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 41:07:07:00:00:00 | DMAC: 30:30:3f:3f:fd:0d | SIP: 0.0.0.10 | DIP: 0.0.0.0 | Ref Count: 2
SMAC: 15:97:07:9b:3f:0f | DMAC: 20:20:64:64:9e:0e | SIP: 8.13.13.0 | DIP: 0.0.0.0 | Ref Count: 2
SMAC: 00:50:00:7a:be:0e | DMAC: 20:20:64:64:9e:0e | SIP: 0.13.13.0 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 18:02:02:05:da:0a | DMAC: 00:00:90:90:6f:0f | SIP: 0.0.0.0 | DIP: 0.0.11.0 | Ref Count: 3
SMAC: 78:ca:0a:2c:2b:0b | DMAC: 410:10:7f:7f:c5:0 | SIP: 0.0.0.0 | DIP: 0.0.0.3 | Ref Count: 1
SMAC: f8:9c:0c:6b:0d:0d | DMAC: 400:00:17:17:b6:0 | SIP: 11.0.0.0 | DIP: 0.0.0.13 | Ref Count: 1
SMAC: 3c:84:04:91:26:06 | DMAC: 3e0:e0:62:62:ae:0 | SIP: 4.11.11.0 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 8e:f5:05:b4:a3:03 | DMAC: 3a0:a0:ef:ef:da:0 | SIP: 12.0.0.0 | DIP: 0.8.0.0 | Ref Count: 1
SMAC: 41:58:08:97:1a:0a | DMAC: 370:70:a7:a7:dc:0 | SIP: 9.0.0.10 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 7e:ab:0b:f6:d6:06 | DMAC: 350:50:ea:ea:a9:0 | SIP: 4.0.0.0 | DIP: 0.0.13.0 | Ref Count: 1
SMAC: 71:bd:0d:7a:1b:0b | DMAC: 290:90:44:44:33:0 | SIP: 10.211.211.0 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 18:4e:0e:9a:ab:0b | DMAC: 280:80:25:25:8b:0 | SIP: 5.0.0.0 | DIP: 0.3.0.0 | Ref Count: 1
SMAC: 24:d1:01:60:4c:0c | DMAC: 260:60:bc:bc:b5:0 | SIP: 13.0.0.0 | DIP: 0.0.5.0 | Ref Count: 1
SMAC: c5:2e:0e:8d:de:0e | DMAC: 240:40:d1:d1:25:0 | SIP: 5.0.0.0 | DIP: 0.0.172.0 | Ref Count: 1
SMAC: 3c:a3:03:03:6b:0b | DMAC: 210:10:33:33:bf:0 | SIP: 11.3.3.0 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: cd:7c:0c:41:33:03 | DMAC: 1e0:e0:dd:dd:36:0 | SIP: 12.0.0.0 | DIP: 163.0.10.0 | Ref Count: 1
SMAC: 33:a6:06:7d:49:09 | DMAC: 1d0:d0:3f:3f:68:0 | SIP: 1.0.0.3 | DIP: 0.1.0.0 | Ref Count: 1
SMAC: b9:0f:0f:f2:b8:08 | DMAC: 1c0:c0:5d:5d:c0:0 | SIP: 14.0.0.0 | DIP: 0.0.0.14 | Ref Count: 1
SMAC: 65:d6:06:e5:89:09 | DMAC: 1a0:a0:80:80:23:0 | SIP: 0.0.0.14 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 92:38:08:0b:ab:0b | DMAC: 190:90:32:32:80:0 | SIP: 12.2.2.0 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 86:22:02:f6:c4:04 | DMAC: 180:80:d7:d7:f2:0 | SIP: 7.0.0.0 | DIP: 0.2.1.0 | Ref Count: 1
SMAC: 65:c8:08:6c:f6:06 | DMAC: 170:70:68:68:d1:0 | SIP: 12.0.0.14 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: b9:36:06:a4:e0:00 | DMAC: 130:30:d8:d8:cb:0 | SIP: 14.0.0.0 | DIP: 0.0.0.186 | Ref Count: 1
SMAC: 36:64:04:77:6f:0f | DMAC: 120:20:16:16:36:0 | SIP: 10.0.0.109 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: e0:9a:0a:77:e6:06 | DMAC: 110:10:b7:b7:9a:0 | SIP: 7.0.0.0 | DIP: 0.6.1.0 | Ref Count: 1
SMAC: 1b:0e:0e:13:f3:03 | DMAC: 100:00:67:67:f9:0 | SIP: 7.0.0.0 | DIP: 0.195.0.14 | Ref Count: 1
SMAC: 68:a9:09:0a:b1:01 | DMAC: f0:f0:44:44:a8:08 | SIP: 6.13.13.0 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: f1:04:04:d3:d2:02 | DMAC: d0:d0:a5:a5:62:02 | SIP: 13.0.0.0 | DIP: 0.0.0.14 | Ref Count: 1
SMAC: 69:f8:08:88:69:09 | DMAC: 90:90:ee:ee:64:04 | SIP: 0.0.0.0 | DIP: 0.0.12.0 | Ref Count: 1
SMAC: 40:51:01:02:35:05 | DMAC: 80:80:64:64:88:08 | SIP: 12.13.13.0 | DIP: 0.0.0.14 | Ref Count: 1
SMAC: e4:a2:02:91:3d:0d | DMAC: 70:70:4b:4b:09:09 | SIP: 7.0.0.0 | DIP: 0.15.2.0 | Ref Count: 1
SMAC: 0f:f6:06:0e:ee:0e | DMAC: 60:60:7c:7c:19:09 | SIP: 7.0.0.0 | DIP: 0.0.0.1 | Ref Count: 1
SMAC: 39:40:00:4d:af:0f | DMAC: 50:50:89:89:14:04 | SIP: 1.0.0.9 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 11:79:09:d7:b7:07 | DMAC: 480:80:65:65:c3:0 | SIP: 12.14.14.0 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 2c:ea:0a:78:47:07 | DMAC: 430:30:76:76:8b:0 | SIP: 2.0.0.0 | DIP: 0.0.0.6 | Ref Count: 1
SMAC: 82:66:06:09:af:0f | DMAC: 420:20:58:58:e8:0 | SIP: 10.0.0.0 | DIP: 0.171.0.0 | Ref Count: 1
SMAC: 64:aa:0a:a2:95:05 | DMAC: 410:10:3e:3e:41:0 | SIP: 1.0.0.13 | DIP: 0.0.9.0 | Ref Count: 1
SMAC: f3:59:09:b4:23:03 | DMAC: 400:00:be:be:4d:0 | SIP: 14.0.0.0 | DIP: 0.0.8.11 | Ref Count: 1
SMAC: 56:b9:09:31:84:04 | DMAC: 3e0:e0:6f:6f:8c:0 | SIP: 4.0.0.0 | DIP: 1.0.0.0 | Ref Count: 1
SMAC: 62:5d:0d:7c:cb:0b | DMAC: 3b0:b0:3f:3f:f4:0 | SIP: 3.0.0.11 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 82:56:06:bf:df:0f | DMAC: 390:90:6a:6a:e7:0 | SIP: 14.0.0.0 | DIP: 0.0.1.0 | Ref Count: 1
